Precursor;Activator;Activator_carbon_ratio;Activation T (K);T adsorption (K);P adsorption (bar);CO2 ads (mmol/g);CO2ads_2bins_5050;CO2ads_4bins;CO2ads_10bins;CO2ads_7228;adsorption_all_inputs;adsorption_only_BETpore;adsorption_wo_BETpore;adsorption_all_inputs_woNAME;adsorption_wo_BETporeNAME
Rice husk;KOH;1;913;298;0.1;1.24;0;0;2;0;an activated carbon at 298 K and 0.1 bar, which has been synthetized from Rice husk as precursor, activated with KOH with an activator/carbon weight ratio of 1 at an activation temperature of 913 K, and has a BET surface area of 774.0 m2/g and a pore volume of 0.41 cm3/g;an activated carbon at 298 K and 0.1 bar, which has a BET surface area of 774.0 m2/g and a pore volume of 0.41 cm3/g;an activated carbon at 298 K and 0.1 bar, which has been synthetized from Rice husk as precursor, activated with KOH with an activator/carbon weight ratio of 1 at an activation temperature of 913 K;an activated carbon at 298 K and 0.1 bar, which has been synthetized from biomass by activation with KOH with an activator/carbon weight ratio of 1 at an activation temperature of 913 K, and has a BET surface area of 774.0 m2/g and a pore volume of 0.41 cm3/g;an activated carbon at 298 K and 0.1 bar, which has been synthetized from biomass by activation with KOH with an activator/carbon weight ratio of 1 at an activation temperature of 913 K
Rice husk;KOH;1;983;298;0.1;1.21;0;0;2;0;an activated carbon at 298 K and 0.1 bar, which has been synthetized from Rice husk as precursor, activated with KOH with an activator/carbon weight ratio of 1 at an activation temperature of 983 K, and has a BET surface area of 1041.0 m2/g and a pore volume of 0.53 cm3/g;an activated carbon at 298 K and 0.1 bar, which has a BET surface area of 1041.0 m2/g and a pore volume of 0.53 cm3/g;an activated carbon at 298 K and 0.1 bar, which has been synthetized from Rice husk as precursor, activated with KOH with an activator/carbon weight ratio of 1 at an activation temperature of 983 K;an activated carbon at 298 K and 0.1 bar, which has been synthetized from biomass by activation with KOH with an activator/carbon weight ratio of 1 at an activation temperature of 983 K, and has a BET surface area of 1041.0 m2/g and a pore volume of 0.53 cm3/g;an activated carbon at 298 K and 0.1 bar, which has been synthetized from biomass by activation with KOH with an activator/carbon weight ratio of 1 at an activation temperature of 983 K
Rice husk;KOH;1;1053;298;0.1;1.01;0;0;1;0;an activated carbon at 298 K and 0.1 bar, which has been synthetized from Rice husk as precursor, activated with KOH with an activator/carbon weight ratio of 1 at an activation temperature of 1053 K, and has a BET surface area of 1199.0 m2/g and a pore volume of 0.6 cm3/g;an activated carbon at 298 K and 0.1 bar, which has a BET surface area of 1199.0 m2/g and a pore volume of 0.6 cm3/g;an activated carbon at 298 K and 0.1 bar, which has been synthetized from Rice husk as precursor, activated with KOH with an activator/carbon weight ratio of 1 at an activation temperature of 1053 K;an activated carbon at 298 K and 0.1 bar, which has been synthetized from biomass by activation with KOH with an activator/carbon weight ratio of 1 at an activation temperature of 1053 K, and has a BET surface area of 1199.0 m2/g and a pore volume of 0.6 cm3/g;an activated carbon at 298 K and 0.1 bar, which has been synthetized from biomass by activation with KOH with an activator/carbon weight ratio of 1 at an activation temperature of 1053 K
Rice husk;KOH;3;1053;298;0.1;0.69;0;0;0;0;an activated carbon at 298 K and 0.1 bar, which has been synthetized from Rice husk as precursor, activated with KOH with an activator/carbon weight ratio of 3 at an activation temperature of 1053 K, and has a BET surface area of 2695.0 m2/g and a pore volume of 1.14 cm3/g;an activated carbon at 298 K and 0.1 bar, which has a BET surface area of 2695.0 m2/g and a pore volume of 1.14 cm3/g;an activated carbon at 298 K and 0.1 bar, which has been synthetized from Rice husk as precursor, activated with KOH with an activator/carbon weight ratio of 3 at an activation temperature of 1053 K;an activated carbon at 298 K and 0.1 bar, which has been synthetized from biomass by activation with KOH with an activator/carbon weight ratio of 3 at an activation temperature of 1053 K, and has a BET surface area of 2695.0 m2/g and a pore volume of 1.14 cm3/g;an activated carbon at 298 K and 0.1 bar, which has been synthetized from biomass by activation with KOH with an activator/carbon weight ratio of 3 at an activation temperature of 1053 K
Rice husk;KOH;1;913;298;0.15;1.51;0;1;2;0;an activated carbon at 298 K and 0.15 bar, which has been synthetized from Rice husk as precursor, activated with KOH with an activator/carbon weight ratio of 1 at an activation temperature of 913 K, and has a BET surface area of 774.0 m2/g and a pore volume of 0.41 cm3/g;an activated carbon at 298 K and 0.15 bar, which has a BET surface area of 774.0 m2/g and a pore volume of 0.41 cm3/g;an activated carbon at 298 K and 0.15 bar, which has been synthetized from Rice husk as precursor, activated with KOH with an activator/carbon weight ratio of 1 at an activation temperature of 913 K;an activated carbon at 298 K and 0.15 bar, which has been synthetized from biomass by activation with KOH with an activator/carbon weight ratio of 1 at an activation temperature of 913 K, and has a BET surface area of 774.0 m2/g and a pore volume of 0.41 cm3/g;an activated carbon at 298 K and 0.15 bar, which has been synthetized from biomass by activation with KOH with an activator/carbon weight ratio of 1 at an activation temperature of 913 K
Rice husk;KOH;1;983;298;0.15;1.55;0;1;2;0;an activated carbon at 298 K and 0.15 bar, which has been synthetized from Rice husk as precursor, activated with KOH with an activator/carbon weight ratio of 1 at an activation temperature of 983 K, and has a BET surface area of 1041.0 m2/g and a pore volume of 0.53 cm3/g;an activated carbon at 298 K and 0.15 bar, which has a BET surface area of 1041.0 m2/g and a pore volume of 0.53 cm3/g;an activated carbon at 298 K and 0.15 bar, which has been synthetized from Rice husk as precursor, activated with KOH with an activator/carbon weight ratio of 1 at an activation temperature of 983 K;an activated carbon at 298 K and 0.15 bar, which has been synthetized from biomass by activation with KOH with an activator/carbon weight ratio of 1 at an activation temperature of 983 K, and has a BET surface area of 1041.0 m2/g and a pore volume of 0.53 cm3/g;an activated carbon at 298 K and 0.15 bar, which has been synthetized from biomass by activation with KOH with an activator/carbon weight ratio of 1 at an activation temperature of 983 K
Rice husk;KOH;1;1053;298;0.15;1.28;0;0;2;0;an activated carbon at 298 K and 0.15 bar, which has been synthetized from Rice husk as precursor, activated with KOH with an activator/carbon weight ratio of 1 at an activation temperature of 1053 K, and has a BET surface area of 1199.0 m2/g and a pore volume of 0.6 cm3/g;an activated carbon at 298 K and 0.15 bar, which has a BET surface area of 1199.0 m2/g and a pore volume of 0.6 cm3/g;an activated carbon at 298 K and 0.15 bar, which has been synthetized from Rice husk as precursor, activated with KOH with an activator/carbon weight ratio of 1 at an activation temperature of 1053 K;an activated carbon at 298 K and 0.15 bar, which has been synthetized from biomass by activation with KOH with an activator/carbon weight ratio of 1 at an activation temperature of 1053 K, and has a BET surface area of 1199.0 m2/g and a pore volume of 0.6 cm3/g;an activated carbon at 298 K and 0.15 bar, which has been synthetized from biomass by activation with KOH with an activator/carbon weight ratio of 1 at an activation temperature of 1053 K
Rice husk;KOH;3;1053;298;0.15;0.92;0;0;1;0;an activated carbon at 298 K and 0.15 bar, which has been synthetized from Rice husk as precursor, activated with KOH with an activator/carbon weight ratio of 3 at an activation temperature of 1053 K, and has a BET surface area of 2695.0 m2/g and a pore volume of 1.14 cm3/g;an activated carbon at 298 K and 0.15 bar, which has a BET surface area of 2695.0 m2/g and a pore volume of 1.14 cm3/g;an activated carbon at 298 K and 0.15 bar, which has been synthetized from Rice husk as precursor, activated with KOH with an activator/carbon weight ratio of 3 at an activation temperature of 1053 K;an activated carbon at 298 K and 0.15 bar, which has been synthetized from biomass by activation with KOH with an activator/carbon weight ratio of 3 at an activation temperature of 1053 K, and has a BET surface area of 2695.0 m2/g and a pore volume of 1.14 cm3/g;an activated carbon at 298 K and 0.15 bar, which has been synthetized from biomass by activation with KOH with an activator/carbon weight ratio of 3 at an activation temperature of 1053 K
Rice husk;KOH;1;913;298;0.2;1.79;0;1;3;0;an activated carbon at 298 K and 0.2 bar, which has been synthetized from Rice husk as precursor, activated with KOH with an activator/carbon weight ratio of 1 at an activation temperature of 913 K, and has a BET surface area of 774.0 m2/g and a pore volume of 0.41 cm3/g;an activated carbon at 298 K and 0.2 bar, which has a BET surface area of 774.0 m2/g and a pore volume of 0.41 cm3/g;an activated carbon at 298 K and 0.2 bar, which has been synthetized from Rice husk as precursor, activated with KOH with an activator/carbon weight ratio of 1 at an activation temperature of 913 K;an activated carbon at 298 K and 0.2 bar, which has been synthetized from biomass by activation with KOH with an activator/carbon weight ratio of 1 at an activation temperature of 913 K, and has a BET surface area of 774.0 m2/g and a pore volume of 0.41 cm3/g;an activated carbon at 298 K and 0.2 bar, which has been synthetized from biomass by activation with KOH with an activator/carbon weight ratio of 1 at an activation temperature of 913 K
Rice husk;KOH;1;983;298;0.2;1.83;0;1;3;0;an activated carbon at 298 K and 0.2 bar, which has been synthetized from Rice husk as precursor, activated with KOH with an activator/carbon weight ratio of 1 at an activation temperature of 983 K, and has a BET surface area of 1041.0 m2/g and a pore volume of 0.53 cm3/g;an activated carbon at 298 K and 0.2 bar, which has a BET surface area of 1041.0 m2/g and a pore volume of 0.53 cm3/g;an activated carbon at 298 K and 0.2 bar, which has been synthetized from Rice husk as precursor, activated with KOH with an activator/carbon weight ratio of 1 at an activation temperature of 983 K;an activated carbon at 298 K and 0.2 bar, which has been synthetized from biomass by activation with KOH with an activator/carbon weight ratio of 1 at an activation temperature of 983 K, and has a BET surface area of 1041.0 m2/g and a pore volume of 0.53 cm3/g;an activated carbon at 298 K and 0.2 bar, which has been synthetized from biomass by activation with KOH with an activator/carbon weight ratio of 1 at an activation temperature of 983 K
Rice husk;KOH;1;1053;298;0.2;1.58;0;1;2;0;an activated carbon at 298 K and 0.2 bar, which has been synthetized from Rice husk as precursor, activated with KOH with an activator/carbon weight ratio of 1 at an activation temperature of 1053 K, and has a BET surface area of 1199.0 m2/g and a pore volume of 0.6 cm3/g;an activated carbon at 298 K and 0.2 bar, which has a BET surface area of 1199.0 m2/g and a pore volume of 0.6 cm3/g;an activated carbon at 298 K and 0.2 bar, which has been synthetized from Rice husk as precursor, activated with KOH with an activator/carbon weight ratio of 1 at an activation temperature of 1053 K;an activated carbon at 298 K and 0.2 bar, which has been synthetized from biomass by activation with KOH with an activator/carbon weight ratio of 1 at an activation temperature of 1053 K, and has a BET surface area of 1199.0 m2/g and a pore volume of 0.6 cm3/g;an activated carbon at 298 K and 0.2 bar, which has been synthetized from biomass by activation with KOH with an activator/carbon weight ratio of 1 at an activation temperature of 1053 K
Rice husk;KOH;3;1053;298;0.2;1.17;0;0;1;0;an activated carbon at 298 K and 0.2 bar, which has been synthetized from Rice husk as precursor, activated with KOH with an activator/carbon weight ratio of 3 at an activation temperature of 1053 K, and has a BET surface area of 2695.0 m2/g and a pore volume of 1.14 cm3/g;an activated carbon at 298 K and 0.2 bar, which has a BET surface area of 2695.0 m2/g and a pore volume of 1.14 cm3/g;an activated carbon at 298 K and 0.2 bar, which has been synthetized from Rice husk as precursor, activated with KOH with an activator/carbon weight ratio of 3 at an activation temperature of 1053 K;an activated carbon at 298 K and 0.2 bar, which has been synthetized from biomass by activation with KOH with an activator/carbon weight ratio of 3 at an activation temperature of 1053 K, and has a BET surface area of 2695.0 m2/g and a pore volume of 1.14 cm3/g;an activated carbon at 298 K and 0.2 bar, which has been synthetized from biomass by activation with KOH with an activator/carbon weight ratio of 3 at an activation temperature of 1053 K
